,c_num,x_idx,y_idx,x_val,y_val
0,187,43,1,-71.25,-56.25
1,188,44,1,-68.75,-56.25
2,189,45,1,-66.25,-56.25
3,330,42,2,-73.75,-53.75
4,331,43,2,-71.25,-53.75
5,332,44,2,-68.75,-53.75
6,333,45,2,-66.25,-53.75
7,345,57,2,-36.25,-53.75
8,473,41,3,-76.25,-51.25
9,474,42,3,-73.75,-51.25
10,475,43,3,-71.25,-51.25
11,476,44,3,-68.75,-51.25
12,479,47,3,-61.25,-51.25
13,480,48,3,-58.75,-51.25
14,570,138,3,166.25,-51.25
15,617,41,4,-76.25,-48.75
16,618,42,4,-73.75,-48.75
17,619,43,4,-71.25,-48.75
18,620,44,4,-68.75,-48.75
19,621,45,4,-66.25,-48.75
20,675,99,4,68.75,-48.75
21,676,100,4,71.25,-48.75
22,761,41,5,-76.25,-46.25
23,762,42,5,-73.75,-46.25
24,763,43,5,-71.25,-46.25
25,764,44,5,-68.75,-46.25
26,765,45,5,-66.25,-46.25
27,858,138,5,166.25,-46.25
28,859,139,5,168.75,-46.25
29,860,140,5,171.25,-46.25
30,865,1,6,-176.25,-43.75
31,906,42,6,-73.75,-43.75
32,907,43,6,-71.25,-43.75
33,908,44,6,-68.75,-43.75
34,909,45,6,-66.25,-43.75
35,910,46,6,-63.75,-43.75
36,994,130,6,146.25,-43.75
37,995,131,6,148.75,-43.75
38,1002,138,6,166.25,-43.75
39,1003,139,6,168.75,-43.75
40,1004,140,6,171.25,-43.75
41,1005,141,6,173.75,-43.75
42,1050,42,7,-73.75,-41.25
43,1051,43,7,-71.25,-41.25
44,1052,44,7,-68.75,-41.25
45,1053,45,7,-66.25,-41.25
46,1054,46,7,-63.75,-41.25
47,1055,47,7,-61.25,-41.25
48,1137,129,7,143.75,-41.25
49,1138,130,7,146.25,-41.25
50,1139,131,7,148.75,-41.25
51,1148,140,7,171.25,-41.25
52,1149,141,7,173.75,-41.25
53,1150,142,7,176.25,-41.25
54,1194,42,8,-73.75,-38.75
55,1195,43,8,-71.25,-38.75
56,1196,44,8,-68.75,-38.75
57,1197,45,8,-66.25,-38.75
58,1198,46,8,-63.75,-38.75
59,1199,47,8,-61.25,-38.75
60,1200,48,8,-58.75,-38.75
61,1201,49,8,-56.25,-38.75
62,1280,128,8,141.25,-38.75
63,1281,129,8,143.75,-38.75
64,1282,130,8,146.25,-38.75
65,1283,131,8,148.75,-38.75
66,1293,141,8,173.75,-38.75
67,1294,142,8,176.25,-38.75
68,1295,143,8,178.75,-38.75
69,1338,42,9,-73.75,-36.25
70,1339,43,9,-71.25,-36.25
71,1340,44,9,-68.75,-36.25
72,1341,45,9,-66.25,-36.25
73,1342,46,9,-63.75,-36.25
74,1343,47,9,-61.25,-36.25
75,1344,48,9,-58.75,-36.25
76,1345,49,9,-56.25,-36.25
77,1422,126,9,136.25,-36.25
78,1423,127,9,138.75,-36.25
79,1424,128,9,141.25,-36.25
80,1425,129,9,143.75,-36.25
81,1426,130,9,146.25,-36.25
82,1427,131,9,148.75,-36.25
83,1428,132,9,151.25,-36.25
84,1437,141,9,173.75,-36.25
85,1438,142,9,176.25,-36.25
86,1483,43,10,-71.25,-33.75
87,1484,44,10,-68.75,-33.75
