,c_num,x_idx,y_idx,x_val,y_val
0,330,42,2,-73.75,-53.75
1,331,43,2,-71.25,-53.75
2,332,44,2,-68.75,-53.75
3,333,45,2,-66.25,-53.75
4,475,43,3,-71.25,-51.25
5,480,48,3,-58.75,-51.25
6,617,41,4,-76.25,-48.75
7,618,42,4,-73.75,-48.75
8,619,43,4,-71.25,-48.75
9,620,44,4,-68.75,-48.75
10,621,45,4,-66.25,-48.75
11,675,99,4,68.75,-48.75
12,761,41,5,-76.25,-46.25
13,762,42,5,-73.75,-46.25
14,763,43,5,-71.25,-46.25
15,764,44,5,-68.75,-46.25
16,858,138,5,166.25,-46.25
17,859,139,5,168.75,-46.25
18,906,42,6,-73.75,-43.75
19,907,43,6,-71.25,-43.75
20,908,44,6,-68.75,-43.75
21,909,45,6,-66.25,-43.75
22,994,130,6,146.25,-43.75
23,1003,139,6,168.75,-43.75
24,1004,140,6,171.25,-43.75
25,1005,141,6,173.75,-43.75
26,1050,42,7,-73.75,-41.25
27,1051,43,7,-71.25,-41.25
28,1052,44,7,-68.75,-41.25
29,1053,45,7,-66.25,-41.25
30,1054,46,7,-63.75,-41.25
31,1137,129,7,143.75,-41.25
32,1138,130,7,146.25,-41.25
33,1148,140,7,171.25,-41.25
34,1149,141,7,173.75,-41.25
35,1150,142,7,176.25,-41.25
36,1194,42,8,-73.75,-38.75
37,1195,43,8,-71.25,-38.75
38,1196,44,8,-68.75,-38.75
39,1197,45,8,-66.25,-38.75
40,1198,46,8,-63.75,-38.75
41,1199,47,8,-61.25,-38.75
42,1200,48,8,-58.75,-38.75
43,1280,128,8,141.25,-38.75
44,1281,129,8,143.75,-38.75
45,1282,130,8,146.25,-38.75
46,1283,131,8,148.75,-38.75
47,1293,141,8,173.75,-38.75
48,1294,142,8,176.25,-38.75
49,1338,42,9,-73.75,-36.25
50,1339,43,9,-71.25,-36.25
51,1340,44,9,-68.75,-36.25
52,1341,45,9,-66.25,-36.25
53,1342,46,9,-63.75,-36.25
54,1343,47,9,-61.25,-36.25
55,1344,48,9,-58.75,-36.25
56,1422,126,9,136.25,-36.25
57,1423,127,9,138.75,-36.25
58,1424,128,9,141.25,-36.25
59,1425,129,9,143.75,-36.25
60,1426,130,9,146.25,-36.25
61,1427,131,9,148.75,-36.25
62,1437,141,9,173.75,-36.25
63,1483,43,10,-71.25,-33.75
64,1484,44,10,-68.75,-33.75
65,1485,45,10,-66.25,-33.75
66,1486,46,10,-63.75,-33.75
67,1487,47,10,-61.25,-33.75
68,1488,48,10,-58.75,-33.75
69,1489,49,10,-56.25,-33.75
70,1490,50,10,-53.75,-33.75
71,1519,79,10,18.75,-33.75
72,1520,80,10,21.25,-33.75
73,1521,81,10,23.75,-33.75
74,1522,82,10,26.25,-33.75
75,1523,83,10,28.75,-33.75
76,1558,118,10,116.25,-33.75
77,1559,119,10,118.75,-33.75
78,1560,120,10,121.25,-33.75
79,1561,121,10,123.75,-33.75
80,1565,125,10,133.75,-33.75
81,1566,126,10,136.25,-33.75
82,1567,127,10,138.75,-33.75
83,1568,128,10,141.25,-33.75
84,1569,129,10,143.75,-33.75
85,1570,130,10,146.25,-33.75
86,1571,131,10,148.75,-33.75
87,1572,132,10,151.25,-33.75
88,1627,43,11,-71.25,-31.25
89,1628,44,11,-68.75,-31.25
90,1629,45,11,-66.25,-31.25
91,1630,46,11,-63.75,-31.25
92,1631,47,11,-61.25,-31.25
93,1632,48,11,-58.75,-31.25
94,1633,49,11,-56.25,-31.25
95,1634,50,11,-53.75,-31.25
96,1635,51,11,-51.25,-31.25
97,1662,78,11,16.25,-31.25
98,1663,79,11,18.75,-31.25
99,1664,80,11,21.25,-31.25
100,1665,81,11,23.75,-31.25
101,1666,82,11,26.25,-31.25
102,1667,83,11,28.75,-31.25
103,1702,118,11,116.25,-31.25
104,1703,119,11,118.75,-31.25
105,1704,120,11,121.25,-31.25
106,1705,121,11,123.75,-31.25
107,1706,122,11,126.25,-31.25
108,1707,123,11,128.75,-31.25
109,1708,124,11,131.25,-31.25
110,1709,125,11,133.75,-31.25
111,1710,126,11,136.25,-31.25
112,1711,127,11,138.75,-31.25
113,1712,128,11,141.25,-31.25
114,1713,129,11,143.75,-31.25
115,1714,130,11,146.25,-31.25
116,1715,131,11,148.75,-31.25
117,1716,132,11,151.25,-31.25
118,1771,43,12,-71.25,-28.75
119,1772,44,12,-68.75,-28.75
120,1773,45,12,-66.25,-28.75
121,1774,46,12,-63.75,-28.75
122,1775,47,12,-61.25,-28.75
123,1776,48,12,-58.75,-28.75
124,1777,49,12,-56.25,-28.75
125,1778,50,12,-53.75,-28.75
126,1779,51,12,-51.25,-28.75
127,1806,78,12,16.25,-28.75
128,1807,79,12,18.75,-28.75
129,1808,80,12,21.25,-28.75
130,1809,81,12,23.75,-28.75
131,1810,82,12,26.25,-28.75
132,1811,83,12,28.75,-28.75
133,1812,84,12,31.25,-28.75
134,1845,117,12,113.75,-28.75
135,1846,118,12,116.25,-28.75
136,1847,119,12,118.75,-28.75
137,1848,120,12,121.25,-28.75
138,1849,121,12,123.75,-28.75
139,1850,122,12,126.25,-28.75
140,1851,123,12,128.75,-28.75
141,1852,124,12,131.25,-28.75
142,1853,125,12,133.75,-28.75
143,1854,126,12,136.25,-28.75
144,1855,127,12,138.75,-28.75
145,1856,128,12,141.25,-28.75
146,1857,129,12,143.75,-28.75
147,1858,130,12,146.25,-28.75
148,1859,131,12,148.75,-28.75
149,1860,132,12,151.25,-28.75
150,1861,133,12,153.75,-28.75
151,1915,43,13,-71.25,-26.25
152,1916,44,13,-68.75,-26.25
153,1917,45,13,-66.25,-26.25
154,1918,46,13,-63.75,-26.25
155,1919,47,13,-61.25,-26.25
156,1920,48,13,-58.75,-26.25
157,1921,49,13,-56.25,-26.25
158,1922,50,13,-53.75,-26.25
159,1923,51,13,-51.25,-26.25
160,1924,52,13,-48.75,-26.25
161,1949,77,13,13.75,-26.25
162,1950,78,13,16.25,-26.25
163,1951,79,13,18.75,-26.25
164,1952,80,13,21.25,-26.25
165,1953,81,13,23.75,-26.25
166,1954,82,13,26.25,-26.25
167,1955,83,13,28.75,-26.25
168,1956,84,13,31.25,-26.25
169,1961,89,13,43.75,-26.25
170,1989,117,13,113.75,-26.25
171,1990,118,13,116.25,-26.25
172,1991,119,13,118.75,-26.25
173,1992,120,13,121.25,-26.25
174,1993,121,13,123.75,-26.25
175,1994,122,13,126.25,-26.25
176,1995,123,13,128.75,-26.25
177,1996,124,13,131.25,-26.25
178,1997,125,13,133.75,-26.25
179,1998,126,13,136.25,-26.25
180,1999,127,13,138.75,-26.25
181,2000,128,13,141.25,-26.25
182,2001,129,13,143.75,-26.25
183,2002,130,13,146.25,-26.25
184,2003,131,13,148.75,-26.25
185,2004,132,13,151.25,-26.25
186,2059,43,14,-71.25,-23.75
187,2060,44,14,-68.75,-23.75
188,2061,45,14,-66.25,-23.75
189,2062,46,14,-63.75,-23.75
190,2063,47,14,-61.25,-23.75
191,2064,48,14,-58.75,-23.75
192,2065,49,14,-56.25,-23.75
193,2066,50,14,-53.75,-23.75
194,2067,51,14,-51.25,-23.75
195,2068,52,14,-48.75,-23.75
196,2069,53,14,-46.25,-23.75
197,2070,54,14,-43.75,-23.75
198,2093,77,14,13.75,-23.75
199,2094,78,14,16.25,-23.75
200,2095,79,14,18.75,-23.75
201,2096,80,14,21.25,-23.75
202,2097,81,14,23.75,-23.75
203,2098,82,14,26.25,-23.75
