c_num,x_idx,y_idx,x_val,y_val
330.0,212,12,-73.75,-53.75
331.0,217,12,-71.25,-53.75
332.0,222,12,-68.75,-53.75
333.0,227,12,-66.25,-53.75
475.0,217,17,-71.25,-51.25
480.0,242,17,-58.75,-51.25
617.0,207,22,-76.25,-48.75
618.0,212,22,-73.75,-48.75
619.0,217,22,-71.25,-48.75
620.0,222,22,-68.75,-48.75
621.0,227,22,-66.25,-48.75
675.0,497,22,68.75,-48.75
761.0,207,27,-76.25,-46.25
762.0,212,27,-73.75,-46.25
763.0,217,27,-71.25,-46.25
764.0,222,27,-68.75,-46.25
858.0,692,27,166.25,-46.25
859.0,697,27,168.75,-46.25
906.0,212,32,-73.75,-43.75
907.0,217,32,-71.25,-43.75
908.0,222,32,-68.75,-43.75
909.0,227,32,-66.25,-43.75
994.0,652,32,146.25,-43.75
1003.0,697,32,168.75,-43.75
1004.0,702,32,171.25,-43.75
1005.0,707,32,173.75,-43.75
1050.0,212,37,-73.75,-41.25
1051.0,217,37,-71.25,-41.25
1052.0,222,37,-68.75,-41.25
1053.0,227,37,-66.25,-41.25
1054.0,232,37,-63.75,-41.25
1137.0,647,37,143.75,-41.25
1138.0,652,37,146.25,-41.25
1148.0,702,37,171.25,-41.25
1149.0,707,37,173.75,-41.25
1150.0,712,37,176.25,-41.25
1194.0,212,42,-73.75,-38.75
1195.0,217,42,-71.25,-38.75
1196.0,222,42,-68.75,-38.75
1197.0,227,42,-66.25,-38.75
1198.0,232,42,-63.75,-38.75
1199.0,237,42,-61.25,-38.75
1200.0,242,42,-58.75,-38.75
1280.0,642,42,141.25,-38.75
1281.0,647,42,143.75,-38.75
1282.0,652,42,146.25,-38.75
1283.0,657,42,148.75,-38.75
1293.0,707,42,173.75,-38.75
1294.0,712,42,176.25,-38.75
1338.0,212,47,-73.75,-36.25
1339.0,217,47,-71.25,-36.25
1340.0,222,47,-68.75,-36.25
1341.0,227,47,-66.25,-36.25
1342.0,232,47,-63.75,-36.25
1343.0,237,47,-61.25,-36.25
1344.0,242,47,-58.75,-36.25
1422.0,632,47,136.25,-36.25
1423.0,637,47,138.75,-36.25
1424.0,642,47,141.25,-36.25
1425.0,647,47,143.75,-36.25
1426.0,652,47,146.25,-36.25
1427.0,657,47,148.75,-36.25
1437.0,707,47,173.75,-36.25
1483.0,217,52,-71.25,-33.75
1484.0,222,52,-68.75,-33.75
1485.0,227,52,-66.25,-33.75
1486.0,232,52,-63.75,-33.75
1487.0,237,52,-61.25,-33.75
1488.0,242,52,-58.75,-33.75
1489.0,247,52,-56.25,-33.75
1490.0,252,52,-53.75,-33.75
1519.0,397,52,18.75,-33.75
1520.0,402,52,21.25,-33.75
1521.0,407,52,23.75,-33.75
1522.0,412,52,26.25,-33.75
1523.0,417,52,28.75,-33.75
1558.0,592,52,116.25,-33.75
1559.0,597,52,118.75,-33.75
1560.0,602,52,121.25,-33.75
1561.0,607,52,123.75,-33.75
1565.0,627,52,133.75,-33.75
1566.0,632,52,136.25,-33.75
1567.0,637,52,138.75,-33.75
1568.0,642,52,141.25,-33.75
1569.0,647,52,143.75,-33.75
1570.0,652,52,146.25,-33.75
1571.0,657,52,148.75,-33.75
1572.0,662,52,151.25,-33.75
1627.0,217,57,-71.25,-31.25
1628.0,222,57,-68.75,-31.25
1629.0,227,57,-66.25,-31.25
1630.0,232,57,-63.75,-31.25
1631.0,237,57,-61.25,-31.25
1632.0,242,57,-58.75,-31.25
1633.0,247,57,-56.25,-31.25
1634.0,252,57,-53.75,-31.25
1635.0,257,57,-51.25,-31.25
1662.0,392,57,16.25,-31.25
1663.0,397,57,18.75,-31.25
1664.0,402,57,21.25,-31.25
1665.0,407,57,23.75,-31.25
1666.0,412,57,26.25,-31.25
1667.0,417,57,28.75,-31.25
1702.0,592,57,116.25,-31.25
1703.0,597,57,118.75,-31.25
1704.0,602,57,121.25,-31.25
1705.0,607,57,123.75,-31.25
1706.0,612,57,126.25,-31.25
1707.0,617,57,128.75,-31.25
1708.0,622,57,131.25,-31.25
1709.0,627,57,133.75,-31.25
1710.0,632,57,136.25,-31.25
1711.0,637,57,138.75,-31.25
1712.0,642,57,141.25,-31.25
1713.0,647,57,143.75,-31.25
1714.0,652,57,146.25,-31.25
1715.0,657,57,148.75,-31.25
1716.0,662,57,151.25,-31.25
1771.0,217,62,-71.25,-28.75
1772.0,222,62,-68.75,-28.75
1773.0,227,62,-66.25,-28.75
1774.0,232,62,-63.75,-28.75
1775.0,237,62,-61.25,-28.75
1776.0,242,62,-58.75,-28.75
1777.0,247,62,-56.25,-28.75
1778.0,252,62,-53.75,-28.75
1779.0,257,62,-51.25,-28.75
1806.0,392,62,16.25,-28.75
1807.0,397,62,18.75,-28.75
1808.0,402,62,21.25,-28.75
1809.0,407,62,23.75,-28.75
1810.0,412,62,26.25,-28.75
1811.0,417,62,28.75,-28.75
1812.0,422,62,31.25,-28.75
1845.0,587,62,113.75,-28.75
1846.0,592,62,116.25,-28.75
1847.0,597,62,118.75,-28.75
1848.0,602,62,121.25,-28.75
1849.0,607,62,123.75,-28.75
1850.0,612,62,126.25,-28.75
1851.0,617,62,128.75,-28.75
1852.0,622,62,131.25,-28.75
1853.0,627,62,133.75,-28.75
1854.0,632,62,136.25,-28.75
1855.0,637,62,138.75,-28.75
1856.0,642,62,141.25,-28.75
1857.0,647,62,143.75,-28.75
1858.0,652,62,146.25,-28.75
1859.0,657,62,148.75,-28.75
1860.0,662,62,151.25,-28.75
1861.0,667,62,153.75,-28.75
1915.0,217,67,-71.25,-26.25
1916.0,222,67,-68.75,-26.25
1917.0,227,67,-66.25,-26.25
1918.0,232,67,-63.75,-26.25
1919.0,237,67,-61.25,-26.25
1920.0,242,67,-58.75,-26.25
1921.0,247,67,-56.25,-26.25
1922.0,252,67,-53.75,-26.25
1923.0,257,67,-51.25,-26.25
1924.0,262,67,-48.75,-26.25
1949.0,387,67,13.75,-26.25
1950.0,392,67,16.25,-26.25
1951.0,397,67,18.75,-26.25
1952.0,402,67,21.25,-26.25
1953.0,407,67,23.75,-26.25
1954.0,412,67,26.25,-26.25
1955.0,417,67,28.75,-26.25
1956.0,422,67,31.25,-26.25
1961.0,447,67,43.75,-26.25
1989.0,587,67,113.75,-26.25
1990.0,592,67,116.25,-26.25
1991.0,597,67,118.75,-26.25
1992.0,602,67,121.25,-26.25
1993.0,607,67,123.75,-26.25
1994.0,612,67,126.25,-26.25
1995.0,617,67,128.75,-26.25
1996.0,622,67,131.25,-26.25
1997.0,627,67,133.75,-26.25
1998.0,632,67,136.25,-26.25
1999.0,637,67,138.75,-26.25
2000.0,642,67,141.25,-26.25
2001.0,647,67,143.75,-26.25
2002.0,652,67,146.25,-26.25
2003.0,657,67,148.75,-26.25
2004.0,662,67,151.25,-26.25
2059.0,217,72,-71.25,-23.75
2060.0,222,72,-68.75,-23.75
2061.0,227,72,-66.25,-23.75
2062.0,232,72,-63.75,-23.75
2063.0,237,72,-61.25,-23.75
2064.0,242,72,-58.75,-23.75
2065.0,247,72,-56.25,-23.75
2066.0,252,72,-53.75,-23.75
2067.0,257,72,-51.25,-23.75
