c_num,x_idx,y_idx,x_val,y_val
330.0,42,2,-73.75,-53.75
331.0,43,2,-71.25,-53.75
332.0,44,2,-68.75,-53.75
333.0,45,2,-66.25,-53.75
475.0,43,3,-71.25,-51.25
480.0,48,3,-58.75,-51.25
617.0,41,4,-76.25,-48.75
618.0,42,4,-73.75,-48.75
619.0,43,4,-71.25,-48.75
620.0,44,4,-68.75,-48.75
621.0,45,4,-66.25,-48.75
675.0,99,4,68.75,-48.75
761.0,41,5,-76.25,-46.25
762.0,42,5,-73.75,-46.25
763.0,43,5,-71.25,-46.25
764.0,44,5,-68.75,-46.25
858.0,138,5,166.25,-46.25
859.0,139,5,168.75,-46.25
906.0,42,6,-73.75,-43.75
907.0,43,6,-71.25,-43.75
908.0,44,6,-68.75,-43.75
909.0,45,6,-66.25,-43.75
994.0,130,6,146.25,-43.75
1003.0,139,6,168.75,-43.75
1004.0,140,6,171.25,-43.75
1005.0,141,6,173.75,-43.75
1050.0,42,7,-73.75,-41.25
1051.0,43,7,-71.25,-41.25
1052.0,44,7,-68.75,-41.25
1053.0,45,7,-66.25,-41.25
1054.0,46,7,-63.75,-41.25
1137.0,129,7,143.75,-41.25
1138.0,130,7,146.25,-41.25
1148.0,140,7,171.25,-41.25
1149.0,141,7,173.75,-41.25
1150.0,142,7,176.25,-41.25
1194.0,42,8,-73.75,-38.75
1195.0,43,8,-71.25,-38.75
1196.0,44,8,-68.75,-38.75
1197.0,45,8,-66.25,-38.75
1198.0,46,8,-63.75,-38.75
1199.0,47,8,-61.25,-38.75
1200.0,48,8,-58.75,-38.75
1280.0,128,8,141.25,-38.75
1281.0,129,8,143.75,-38.75
1282.0,130,8,146.25,-38.75
1283.0,131,8,148.75,-38.75
1293.0,141,8,173.75,-38.75
1294.0,142,8,176.25,-38.75
1338.0,42,9,-73.75,-36.25
1339.0,43,9,-71.25,-36.25
1340.0,44,9,-68.75,-36.25
1341.0,45,9,-66.25,-36.25
1342.0,46,9,-63.75,-36.25
1343.0,47,9,-61.25,-36.25
