c_num,x_idx,y_idx,x_val,y_val
330,42,2,-73.75,-53.75
331,43,2,-71.25,-53.75
332,44,2,-68.75,-53.75
333,45,2,-66.25,-53.75
475,43,3,-71.25,-51.25
480,48,3,-58.75,-51.25
617,41,4,-76.25,-48.75
618,42,4,-73.75,-48.75
619,43,4,-71.25,-48.75
620,44,4,-68.75,-48.75
621,45,4,-66.25,-48.75
675,99,4,68.75,-48.75
761,41,5,-76.25,-46.25
762,42,5,-73.75,-46.25
763,43,5,-71.25,-46.25
764,44,5,-68.75,-46.25
858,138,5,166.25,-46.25
859,139,5,168.75,-46.25
906,42,6,-73.75,-43.75
907,43,6,-71.25,-43.75
908,44,6,-68.75,-43.75
909,45,6,-66.25,-43.75
994,130,6,146.25,-43.75
1003,139,6,168.75,-43.75
1004,140,6,171.25,-43.75
1005,141,6,173.75,-43.75
1050,42,7,-73.75,-41.25
1051,43,7,-71.25,-41.25
1052,44,7,-68.75,-41.25
1053,45,7,-66.25,-41.25
1054,46,7,-63.75,-41.25
1137,129,7,143.75,-41.25
1138,130,7,146.25,-41.25
1148,140,7,171.25,-41.25
1149,141,7,173.75,-41.25
1150,142,7,176.25,-41.25
1194,42,8,-73.75,-38.75
1195,43,8,-71.25,-38.75
1196,44,8,-68.75,-38.75
1197,45,8,-66.25,-38.75
1198,46,8,-63.75,-38.75
1199,47,8,-61.25,-38.75
1200,48,8,-58.75,-38.75
1280,128,8,141.25,-38.75
1281,129,8,143.75,-38.75
1282,130,8,146.25,-38.75
1283,131,8,148.75,-38.75
1293,141,8,173.75,-38.75
1294,142,8,176.25,-38.75
1338,42,9,-73.75,-36.25
1339,43,9,-71.25,-36.25
1340,44,9,-68.75,-36.25
1341,45,9,-66.25,-36.25
1342,46,9,-63.75,-36.25
1343,47,9,-61.25,-36.25
1344,48,9,-58.75,-36.25
1422,126,9,136.25,-36.25
1423,127,9,138.75,-36.25
1424,128,9,141.25,-36.25
1425,129,9,143.75,-36.25
1426,130,9,146.25,-36.25
1427,131,9,148.75,-36.25
1437,141,9,173.75,-36.25
1483,43,10,-71.25,-33.75
1484,44,10,-68.75,-33.75
1485,45,10,-66.25,-33.75
1486,46,10,-63.75,-33.75
1487,47,10,-61.25,-33.75
1488,48,10,-58.75,-33.75
1489,49,10,-56.25,-33.75
1490,50,10,-53.75,-33.75
1519,79,10,18.75,-33.75
1520,80,10,21.25,-33.75
1521,81,10,23.75,-33.75
1522,82,10,26.25,-33.75
1523,83,10,28.75,-33.75
1558,118,10,116.25,-33.75
1559,119,10,118.75,-33.75
1560,120,10,121.25,-33.75
1561,121,10,123.75,-33.75
1565,125,10,133.75,-33.75
1566,126,10,136.25,-33.75
1567,127,10,138.75,-33.75
1568,128,10,141.25,-33.75
1569,129,10,143.75,-33.75
1570,130,10,146.25,-33.75
1571,131,10,148.75,-33.75
1572,132,10,151.25,-33.75
1627,43,11,-71.25,-31.25
1628,44,11,-68.75,-31.25
1629,45,11,-66.25,-31.25
1630,46,11,-63.75,-31.25
1631,47,11,-61.25,-31.25
1632,48,11,-58.75,-31.25
1633,49,11,-56.25,-31.25
1634,50,11,-53.75,-31.25
1635,51,11,-51.25,-31.25
1662,78,11,16.25,-31.25
1663,79,11,18.75,-31.25
1664,80,11,21.25,-31.25
1665,81,11,23.75,-31.25
1666,82,11,26.25,-31.25
1667,83,11,28.75,-31.25
1702,118,11,116.25,-31.25
1703,119,11,118.75,-31.25
1704,120,11,121.25,-31.25
1705,121,11,123.75,-31.25
1706,122,11,126.25,-31.25
1707,123,11,128.75,-31.25
1708,124,11,131.25,-31.25
1709,125,11,133.75,-31.25
1710,126,11,136.25,-31.25
1711,127,11,138.75,-31.25
1712,128,11,141.25,-31.25
1713,129,11,143.75,-31.25
1714,130,11,146.25,-31.25
1715,131,11,148.75,-31.25
1716,132,11,151.25,-31.25
1771,43,12,-71.25,-28.75
1772,44,12,-68.75,-28.75
1773,45,12,-66.25,-28.75
1774,46,12,-63.75,-28.75
1775,47,12,-61.25,-28.75
1776,48,12,-58.75,-28.75
1777,49,12,-56.25,-28.75
1778,50,12,-53.75,-28.75
1779,51,12,-51.25,-28.75
1806,78,12,16.25,-28.75
1807,79,12,18.75,-28.75
1808,80,12,21.25,-28.75
1809,81,12,23.75,-28.75
1810,82,12,26.25,-28.75
1811,83,12,28.75,-28.75
1812,84,12,31.25,-28.75
1845,117,12,113.75,-28.75
1846,118,12,116.25,-28.75
1847,119,12,118.75,-28.75
1848,120,12,121.25,-28.75
1849,121,12,123.75,-28.75
1850,122,12,126.25,-28.75
1851,123,12,128.75,-28.75
1852,124,12,131.25,-28.75
1853,125,12,133.75,-28.75
1854,126,12,136.25,-28.75
1855,127,12,138.75,-28.75
1856,128,12,141.25,-28.75
1857,129,12,143.75,-28.75
1858,130,12,146.25,-28.75
1859,131,12,148.75,-28.75
1860,132,12,151.25,-28.75
1861,133,12,153.75,-28.75
1915,43,13,-71.25,-26.25
1916,44,13,-68.75,-26.25
1917,45,13,-66.25,-26.25
1918,46,13,-63.75,-26.25
1919,47,13,-61.25,-26.25
1920,48,13,-58.75,-26.25
1921,49,13,-56.25,-26.25
1922,50,13,-53.75,-26.25
1923,51,13,-51.25,-26.25
1924,52,13,-48.75,-26.25
1949,77,13,13.75,-26.25
1950,78,13,16.25,-26.25
1951,79,13,18.75,-26.25
1952,80,13,21.25,-26.25
1953,81,13,23.75,-26.25
1954,82,13,26.25,-26.25
1955,83,13,28.75,-26.25
1956,84,13,31.25,-26.25
1961,89,13,43.75,-26.25
1989,117,13,113.75,-26.25
1990,118,13,116.25,-26.25
1991,119,13,118.75,-26.25
1992,120,13,121.25,-26.25
1993,121,13,123.75,-26.25
1994,122,13,126.25,-26.25
1995,123,13,128.75,-26.25
1996,124,13,131.25,-26.25
1997,125,13,133.75,-26.25
1998,126,13,136.25,-26.25
1999,127,13,138.75,-26.25
2000,128,13,141.25,-26.25
2001,129,13,143.75,-26.25
2002,130,13,146.25,-26.25
2003,131,13,148.75,-26.25
2004,132,13,151.25,-26.25
2059,43,14,-71.25,-23.75
2060,44,14,-68.75,-23.75
2061,45,14,-66.25,-23.75
2062,46,14,-63.75,-23.75
2063,47,14,-61.25,-23.75
2064,48,14,-58.75,-23.75
2065,49,14,-56.25,-23.75
2066,50,14,-53.75,-23.75
2067,51,14,-51.25,-23.75
2068,52,14,-48.75,-23.75
2069,53,14,-46.25,-23.75
2070,54,14,-43.75,-23.75
2093,77,14,13.75,-23.75
2094,78,14,16.25,-23.75
2095,79,14,18.75,-23.75
2096,80,14,21.25,-23.75
2097,81,14,23.75,-23.75
2098,82,14,26.25,-23.75
2099,83,14,28.75,-23.75
2100,84,14,31.25,-23.75
2101,85,14,33.75,-23.75
2105,89,14,43.75,-23.75
2106,90,14,46.25,-23.75
2133,117,14,113.75,-23.75
2134,118,14,116.25,-23.75
2135,119,14,118.75,-23.75
2136,120,14,121.25,-23.75
2137,121,14,123.75,-23.75
2138,122,14,126.25,-23.75
2139,123,14,128.75,-23.75
2140,124,14,131.25,-23.75
2141,125,14,133.75,-23.75
2142,126,14,136.25,-23.75
2143,127,14,138.75,-23.75
2144,128,14,141.25,-23.75
2145,129,14,143.75,-23.75
2146,130,14,146.25,-23.75
2147,131,14,148.75,-23.75
2148,132,14,151.25,-23.75
2203,43,15,-71.25,-21.25
2204,44,15,-68.75,-21.25
2205,45,15,-66.25,-21.25
2206,46,15,-63.75,-21.25
2207,47,15,-61.25,-21.25
2208,48,15,-58.75,-21.25
2209,49,15,-56.25,-21.25
2210,50,15,-53.75,-21.25
2211,51,15,-51.25,-21.25
2212,52,15,-48.75,-21.25
2213,53,15,-46.25,-21.25
2214,54,15,-43.75,-21.25
2215,55,15,-41.25,-21.25
2237,77,15,13.75,-21.25
2238,78,15,16.25,-21.25
2239,79,15,18.75,-21.25
2240,80,15,21.25,-21.25
2241,81,15,23.75,-21.25
2242,82,15,26.25,-21.25
2243,83,15,28.75,-21.25
2244,84,15,31.25,-21.25
2245,85,15,33.75,-21.25
2249,89,15,43.75,-21.25
2250,90,15,46.25,-21.25
2251,91,15,48.75,-21.25
2277,117,15,113.75,-21.25
2278,118,15,116.25,-21.25
2279,119,15,118.75,-21.25
2280,120,15,121.25,-21.25
2281,121,15,123.75,-21.25
2282,122,15,126.25,-21.25
2283,123,15,128.75,-21.25
2284,124,15,131.25,-21.25
2285,125,15,133.75,-21.25
2286,126,15,136.25,-21.25
2287,127,15,138.75,-21.25
2288,128,15,141.25,-21.25
2289,129,15,143.75,-21.25
2290,130,15,146.25,-21.25
2291,131,15,148.75,-21.25
2297,137,15,163.75,-21.25
2347,43,16,-71.25,-18.75
2348,44,16,-68.75,-18.75
2349,45,16,-66.25,-18.75
2350,46,16,-63.75,-18.75
2351,47,16,-61.25,-18.75
2352,48,16,-58.75,-18.75
2353,49,16,-56.25,-18.75
2354,50,16,-53.75,-18.75
2355,51,16,-51.25,-18.75
2356,52,16,-48.75,-18.75
2357,53,16,-46.25,-18.75
2358,54,16,-43.75,-18.75
2359,55,16,-41.25,-18.75
2380,76,16,11.25,-18.75
2381,77,16,13.75,-18.75
2382,78,16,16.25,-18.75
2383,79,16,18.75,-18.75
2384,80,16,21.25,-18.75
2385,81,16,23.75,-18.75
2386,82,16,26.25,-18.75
2387,83,16,28.75,-18.75
2388,84,16,31.25,-18.75
2389,85,16,33.75,-18.75
2390,86,16,36.25,-18.75
2393,89,16,43.75,-18.75
2394,90,16,46.25,-18.75
2395,91,16,48.75,-18.75
2424,120,16,121.25,-18.75
2425,121,16,123.75,-18.75
2426,122,16,126.25,-18.75
2427,123,16,128.75,-18.75
2428,124,16,131.25,-18.75
2429,125,16,133.75,-18.75
2430,126,16,136.25,-18.75
2431,127,16,138.75,-18.75
2432,128,16,141.25,-18.75
2433,129,16,143.75,-18.75
2434,130,16,146.25,-18.75
2447,143,16,178.75,-18.75
2489,41,17,-76.25,-16.25
2490,42,17,-73.75,-16.25
2491,43,17,-71.25,-16.25
2492,44,17,-68.75,-16.25
2493,45,17,-66.25,-16.25
2494,46,17,-63.75,-16.25
2495,47,17,-61.25,-16.25
2496,48,17,-58.75,-16.25
2497,49,17,-56.25,-16.25
2498,50,17,-53.75,-16.25
2499,51,17,-51.25,-16.25
2500,52,17,-48.75,-16.25
2501,53,17,-46.25,-16.25
2502,54,17,-43.75,-16.25
2503,55,17,-41.25,-16.25
2524,76,17,11.25,-16.25
2525,77,17,13.75,-16.25
2526,78,17,16.25,-16.25
2527,79,17,18.75,-16.25
2528,80,17,21.25,-16.25
2529,81,17,23.75,-16.25
2530,82,17,26.25,-16.25
2531,83,17,28.75,-16.25
2532,84,17,31.25,-16.25
2533,85,17,33.75,-16.25
2534,86,17,36.25,-16.25
2535,87,17,38.75,-16.25
2537,89,17,43.75,-16.25
2538,90,17,46.25,-16.25
2539,91,17,48.75,-16.25
2569,121,17,123.75,-16.25
2570,122,17,126.25,-16.25
2571,123,17,128.75,-16.25
2572,124,17,131.25,-16.25
2573,125,17,133.75,-16.25
2574,126,17,136.25,-16.25
2576,128,17,141.25,-16.25
2577,129,17,143.75,-16.25
2633,41,18,-76.25,-13.75
2634,42,18,-73.75,-13.75
